"title","source","source_type","deadline","posted","award_ceiling","estimated_funding","indirect_rate","eligibility","fit","number","url","matched_terms","description"
"Fluid Dynamics","National Science Foundation","","","2023-03-21","","9175000","","Unrestricted (i.e., open to any type of entity above), subject to any clarification in text field entitled ""Additional Information on Eligibility""","100","PD-23-1443","http://www.nsf.gov/funding/pgm_summ.jsp?pims_id=506069","ai; artificial intelligence; machine learning; data; learning; career; science; engineering","TheFluid Dynamicsprogram is part of the Transport Phenomena cluster, which also includes 1) theCombustion and Fire Systemsprogram; 2) theParticulate and Multiphase Processesprogram; and 3) theThermal Transport Processesprogram. TheFluid Dynamicsprogram supports fundamental research toward gaining an understanding of the physics of various fluid dynamics phenomena. Proposed research should contribute to basic scientific understanding via experiments, theoretical developments, and computational discovery. Major areas of interest and activity in the program include: Turbulence and transition: High Reynolds number experiments; large eddy simulation; direct numerical simulation; transition to turbulence; 3-D boundary layers; separated flows; multi-phase turbulent flows; flow control and drag reduction. High-speed boundary layer transition and turbulence at Mach numbers greater than 5 to understand modal and/or non-modal interactions leading to boundary layer transition and the ensuing developing and fully developed turbulent boundary layer flows.Combined experiments and simulations are encouraged. Bio-fluid physics:Bio-inspired flows; biological flows with emphasis on flow physics. Non-Newtonian fluid mechanics:Single-phase viscoelastic flows; solutions of macro-molecules. Bubble dynamics: Bubbles related to cavitation and/or drag reduction or impacting the fluid viscosity (locally) or manipulation of bubbles with external excitation (acoustofluidics). Microfluidics and nanofluidics: Micro-and nano-scale flow physics. Wind and ocean energy harvesting: Focused on fundamental fluid dynamics associated with renewable energy. The NSF-DOE (Department of Energy) joint funding area is focused on high Reynolds number aerodynamics of thick airfoils (&gt; 21% thickness/chord) operating in complex (3D) steady, unsteady, and separated flows. Impacts of blade surface quality/roughness rotor performance on the aerodynamic/aeroelastic performance of novel rotor geometries and supporting structures are also of interest. Air/sea interactions, including waves/currents, on the hydrodynamic loading for offshore wind turbines. Improved measurement techniques and sensing/control technologies required to characterize the metocean environment impact on performance. The DoE participates in this initiative throughthe Wind Energy Technologies Office (program manager Michael Derby, email: michael.derby@ee.doe.gov). Fluid-structure interactions:General FSI applications across the low- to high-Reynolds number range are of interest to NSF. In addition, NSF-AFOSR (Air Force Office of Scientific Research) joint funding area is focused on theory, modeling and/or experiments for hypersonic applications. AFOSR participates in this initiative through the Aerothermodynamics program. Canonicalconfigurations:Experimental research is encouraged to develop spatiotemporally resolveddatabases for canonical configurations to either confirm historicalresults or to provide data in an unexplored parameter region. Fidelity and completeness for theoretical/computational validation is a key attribute of theproposed experimental data. Artificial intelligence (AI)/machine learning:Innovative AI ideas related to the use of machine learning and other AI approaches in fluid dynamics research to model and control the flows are encouraged.Verifying new models with canonicalconfigurations, when appropriate, is encouraged for theComputational andData-Enabled Science & Engineering(CDS&E) program. Instrumentation and Flow Diagnostics: Instrument development for time-space resolvedmeasurements; shear stress sensors; novel flow imaging; and velocimetry. NOTE:Proposals that use fluid flows as a boundary input condition or a driving force in a problem do not fit within the scope of this program. Proposals focused on particulates (including droplets) two-way coupled with fluids, colloids, and multiphase rheology and processes should be directed to the Particulate andMultiphase Processesprogram. Proposals dealing mainly with materials synthesis, processing and characterization may be more suitable for theAdvanced Manufacturingprogramin the Division of Civil, Mechanical, and Manufacturing Innovation orprograms in theDivision of Materials Research. Proposals dealing primarily with sensors and controls may be more suitable for the Dynamics, Controls, & Cognition program in the Division of Civil, Mechanical, and Manufacturing Innovation. Proposals focused on biological systems may be more suitable forPhysiological and Structural Systemsin the Division of Integrative Organismal Systems. INFORMATION COMMON TO MOST CBET PROGRAMS Proposals should address the novelty and/or potentially transformative nature of the proposed work compared to previous work in the field.Also, it is important to address why the proposed work is important in terms of engineering science, as well as to also project the potential impact on society and/or industry of success in the research.The novelty or potentially transformative nature of the research should be included, as a minimum, in the Project Summary of each proposal. The duration of unsolicited proposal awards in CBET is generally up to three years. Single-investigator award budgets typically include support for one graduate student (or equivalent) and up to one month of PI time per year(awards for multiple investigator projects are typically larger). Proposal budgets that are much larger than typical should be discussed with the program director prior to submission. Proposers can view budget amounts and other information from recent awards made by this program via the ""What Has Been Funded (Recent Awards Made Through This Program, with Abstracts)"" link towards the bottom of this page. Faculty Early Career Development(CAREER)program proposals are strongly encouraged.Award duration is five years.The submission deadline for Engineering CAREER proposals is in July every year. Learn more in the CAREER program description . Proposals for Conferences, Workshops, and Supplements: PIs are strongly encouraged to discuss their requests with the program director before submission of the proposal. Grants forRapid Response Research(RAPID)andEArly-concept Grants for Exploratory Research(EAGER)are also considered when appropriate.Please note that proposals of these types must be discussed with the program director before submission.Grant Opportunities for Academic Liaison with Industry (GOALI)proposals that integrate fundamental research with translational results and are consistent with the application areas of interest to each program are also encouraged. Please note that RAPID, EAGER, and GOALI proposals can be submitted anytime during the year. Details about RAPID, EAGER, and GOALI are available in the Proposal & Award Policies & Procedures Guide (PAPPG), Part 1, Chapter II, Section E: Types of Proposals. Compliance: Proposalsthat are not compliant with the Proposal & Award Policies & Procedures Guide (PAPPG) will be returned without review."
"Higher Education & Career Pathways Causal Research to Improve Outcomes for Part-Time Students RFP Closed","Arnold Ventures","Private foundation","","","","","","","74","","https://assets.arnoldventures.org/uploads/PDFs/202605-AV_RFP_PT-Student-Success.pdf","outcomes; higher education; career; career pathways; pathways; causal","Private foundation. Matched source page for Arnold Ventures. Higher Education & Career Pathways Causal Research to Improve Outcomes for Part-Time Students RFP Closed"
"Grants and Funding Resources Information and resources on K-12 school funding, grants and programs","Oregon Department of Education Grants","State funding","","","","","","","68","","https://www.oregon.gov/ode/schools-and-districts/grants","k-12","State funding. Matched source page for Oregon Department of Education Grants. Grants and Funding Resources Information and resources on K-12 school funding, grants and programs"
"Oregon Accelerated College Credit Program Grant","Oregon Department of Education Grants","State funding","","","","","","","68","","https://www.oregon.gov/ode/schools-and-districts/grants/Pages/Oregon-Accelerated-College-Credit-Program-Grant.aspx","college","State funding. Matched source page for Oregon Department of Education Grants. Oregon Accelerated College Credit Program Grant"
"Available Funding","California Department of Education Funding","State funding","","","","","","","64","","https://www.cde.ca.gov/fg/fo/af/","","State funding. Matched source page for California Department of Education Funding. Available Funding"
"Federal Grants","Hawaii Department of Education Grants","State funding","","","","","","","64","","https://hawaiipublicschools.org/about/federal-grants/","","State funding. Matched source page for Hawaii Department of Education Grants. Federal Grants"
"Learning and Evaluation","ECMC Foundation","Private foundation","","","","","","","60","","https://www.ecmcfoundation.org/what-we-do/learning-and-evaluation/","learning; evaluation","Private foundation. Matched source page for ECMC Foundation. Learning and Evaluation"
"Advanced Placement Course Implementation Grant","Illinois State Board of Education Grants","State funding","","","","","","","56","","https://www.isbe.net/Pages/Advanced-Placement.aspx","implementation","State funding. Matched source page for Illinois State Board of Education Grants. Advanced Placement Course Implementation Grant"
"English Learning and Migrant Education","Indiana Department of Education Grants","State funding","","","","","","","56","","https://www.in.gov/doe/grants/english-learning-and-migrant-education","learning","State funding. Matched source page for Indiana Department of Education Grants. English Learning and Migrant Education"
"1008 Grants (Student Learning Recovery Program)","Indiana Department of Education Grants","State funding","","","","","","","56","","https://www.in.gov/doe/grants/1008-grants","learning","State funding. Matched source page for Indiana Department of Education Grants. 1008 Grants (Student Learning Recovery Program)"
"Early Intervention Grant","Indiana Department of Education Grants","State funding","","","","","","","56","","https://www.in.gov/doe/grants/early-intervention-grant","intervention","State funding. Matched source page for Indiana Department of Education Grants. Early Intervention Grant"
"State Summer Learning Grants","Oregon Department of Education Grants","State funding","","","","","","","56","","https://www.oregon.gov/ode/schools-and-districts/grants/Pages/Summer%20Learning/State-Summer-Learning-Grants.aspx","learning","State funding. Matched source page for Oregon Department of Education Grants. State Summer Learning Grants"
"Today’s Credentials &rarr;","Lumina Foundation","Private foundation","","","","","","","54","","https://www.luminafoundation.org/topics/todays-credentials/","credentials","Private foundation. Matched source page for Lumina Foundation. Today’s Credentials &rarr;"
"University Success","Michael & Susan Dell Foundation","Private foundation","","","","","","","54","","https://www.dell.org/university-success/","university","Private foundation. Matched source page for Michael & Susan Dell Foundation. University Success"
"Capital Improvement Grants and Projects","Alaska Department of Education Grants","State funding","","","","","","","52","","https://education.alaska.gov/facilities/facilitiescip","","State funding. Matched source page for Alaska Department of Education Grants. Capital Improvement Grants and Projects"
"Federal Grants Management","Alaska Department of Education Grants","State funding","","","","","","","52","","https://education.alaska.gov/grants/fed-grants","","State funding. Matched source page for Alaska Department of Education Grants. Federal Grants Management"
"Quality Schools Grant","Alaska Department of Education Grants","State funding","","","","","","","52","","https://education.alaska.gov/tls/qualityschools/","","State funding. Matched source page for Alaska Department of Education Grants. Quality Schools Grant"
"Apply for a US Department of Education Federal Grant","Alaska Department of Education Grants","State funding","","","","","","","52","","https://www2.ed.gov/fund/grant/apply/grantapps/index.html?src=ft","","State funding. Matched source page for Alaska Department of Education Grants. Apply for a US Department of Education Federal Grant"
"Consolidated Application","California Department of Education Funding","State funding","","","","","","","52","","https://www.cde.ca.gov/fg/aa/co/","","State funding. Matched source page for California Department of Education Funding. Consolidated Application"
"Migrant/International","California Department of Education Funding","State funding","","","","","","","52","","https://www.cde.ca.gov/sp/me/","","State funding. Matched source page for California Department of Education Funding. Migrant/International"
"Request for Applications","California Department of Education Funding","State funding","","","","","","","52","","https://www.cde.ca.gov/fg/fo/r1/pcsgppire26rfa.asp","","State funding. Matched source page for California Department of Education Funding. Request for Applications"
"RFA-26: CSESAP","California Department of Education Funding","State funding","","","","","","","52","","https://www.cde.ca.gov/fg/fo/r14/csesap26rfa.asp","","State funding. Matched source page for California Department of Education Funding. RFA-26: CSESAP"
"RFA-25: CSESAP","California Department of Education Funding","State funding","","","","","","","52","","https://www.cde.ca.gov/fg/fo/r14/csesap25rfa.asp","","State funding. Matched source page for California Department of Education Funding. RFA-25: CSESAP"
"Competitive Grants and Awards","Colorado Department of Education Grants","State funding","","","","","","","52","","https://www.cde.state.co.us/cdeawards","","State funding. Matched source page for Colorado Department of Education Grants. Competitive Grants and Awards"
"State and Federal Grants Allocations","Colorado Department of Education Grants","State funding","","","","","","","52","","https://www.cde.state.co.us/cdefisgrant/allocations","","State funding. Matched source page for Colorado Department of Education Grants. State and Federal Grants Allocations"
"Request For Funds Forms (RFF)","Colorado Department of Education Grants","State funding","","","","","","","52","","https://www.cde.state.co.us/cdefisgrant/requestforfundsforms","","State funding. Matched source page for Colorado Department of Education Grants. Request For Funds Forms (RFF)"
"Idaho Public School Facilities Cooperative Funding Application","Idaho Department of Education Funding","State funding","","","","","","","52","","https://www.sde.idaho.gov/wp-content/uploads/2025/11/Idaho-Public-School-Facilities-Cooperative-Funding-Application.docx","","State funding. Matched source page for Idaho Department of Education Funding. Idaho Public School Facilities Cooperative Funding Application"
"Finance Application Center","Indiana Department of Education Grants","State funding","","","","","","","52","","https://www.in.gov/doe/school-operations/finance/finance-application-center","","State funding. Matched source page for Indiana Department of Education Grants. Finance Application Center"
"Federal Grants","Indiana Department of Education Grants","State funding","","","","","","","52","","https://www.in.gov/doe/grants/#Federal_Grants","","State funding. Matched source page for Indiana Department of Education Grants. Federal Grants"
"School Improvement Grants (SIG)","Indiana Department of Education Grants","State funding","","","","","","","52","","https://www.in.gov/doe/grants/sig","","State funding. Matched source page for Indiana Department of Education Grants. School Improvement Grants (SIG)"
"State Grants","Indiana Department of Education Grants","State funding","","","","","","","52","","https://www.in.gov/doe/grants/#State_Grants","","State funding. Matched source page for Indiana Department of Education Grants. State Grants"
"High Ability Program Grant","Indiana Department of Education Grants","State funding","","","","","","","52","","https://www.in.gov/doe/grants/high-ability-program-grant","","State funding. Matched source page for Indiana Department of Education Grants. High Ability Program Grant"
"Grants","Minnesota Department of Education Grants","State funding","","","","","","","52","","https://education.mn.gov/MDE/dse/grants/","","State funding. Matched source page for Minnesota Department of Education Grants. Grants"
"CFDA 84.027A, Special Education Grants to States","Minnesota Department of Education Grants","State funding","","","","","","","52","","https://singleaudit.org/program/?id=84.027","","State funding. Matched source page for Minnesota Department of Education Grants. CFDA 84.027A, Special Education Grants to States"
"mde.compgrants@state.mn.us","Minnesota Department of Education Grants","State funding","","","","","","","52","","mailto:mde.compgrants@state.mn.us?subject=Expanded%20Tutoring,%20%3C%3Cthe%20name%20of%20your%20organization%3E%3E","","State funding. Matched source page for Minnesota Department of Education Grants. mde.compgrants@state.mn.us"
"Application Narrativ e and Assurances","Minnesota Department of Education Grants","State funding","","","","","","","52","","https://education.mn.gov/mdeprod/idcplg?IdcService=GET_FILE&amp;dDocName=PROD081168&amp;RevisionSelectionMethod=latestReleased&amp;Rendition=primary","","State funding. Matched source page for Minnesota Department of Education Grants. Application Narrativ e and Assurances"
"mde.compgrants@state.mn.us","Minnesota Department of Education Grants","State funding","","","","","","","52","","mailto:mde.compgrants@state.mn.us","","State funding. Matched source page for Minnesota Department of Education Grants. mde.compgrants@state.mn.us"
"Grants","Nebraska Department of Education Grants","State funding","","","","","","","52","","https://www.education.ne.gov/ns/nslp/grants/","","State funding. Matched source page for Nebraska Department of Education Grants. Grants"
"School Kitchen Modernization Grant","Nebraska Department of Education Grants","State funding","","","","","","","52","","https://www.education.ne.gov/wp-content/uploads/2026/07/Rural-Health-Transformation-Program-School-Kitchen-Modernization-Grant.pdf","","State funding. Matched source page for Nebraska Department of Education Grants. School Kitchen Modernization Grant"
"Salad Bars to Schools Grant","Nebraska Department of Education Grants","State funding","","","","","","","52","","https://www.thelunchbox.org/apply-for-a-grant/salad-bars-to-schools/","","State funding. Matched source page for Nebraska Department of Education Grants. Salad Bars to Schools Grant"
"KidsGardening Grant","Nebraska Department of Education Grants","State funding","","","","","","","52","","https://kidsgardening.org/grant-opportunities/","","State funding. Matched source page for Nebraska Department of Education Grants. KidsGardening Grant"
"Grants","Nevada Department of Education Grants","State funding","","","","","","","52","","https://doe.nv.gov/grants","","State funding. Matched source page for Nevada Department of Education Grants. Grants"
"7/1/2026 - Nevada Ready! Pre-K Common Application Launches July 1","Nevada Department of Education Grants","State funding","","","","","","","52","","https://doe.nv.gov/news-media/2026-press-releases/nevada-ready-pre-k-common-application-launches-july-1","","State funding. Matched source page for Nevada Department of Education Grants. 7/1/2026 - Nevada Ready! Pre-K Common Application Launches July 1"
"3/23/2026 - Nevada Department of Education Seeks Public Comment on IDEA Application","Nevada Department of Education Grants","State funding","","","","","","","52","","https://doe.nv.gov/news-media/2026-press-releases/nevada-department-of-education-seeks-public-comment-on-idea-application","","State funding. Matched source page for Nevada Department of Education Grants. 3/23/2026 - Nevada Department of Education Seeks Public Comment on IDEA Application"
"Grant Opportunities","New Jersey Department of Education Grants","State funding","","","","","","","52","","https://www.nj.gov/education/grants/opportunities/index.shtml","","State funding. Matched source page for New Jersey Department of Education Grants. Grant Opportunities"
"Discretionary Grants","New Jersey Department of Education Grants","State funding","","","","","","","52","","https://www.nj.gov/education/grants/discretionary","","State funding. Matched source page for New Jersey Department of Education Grants. Discretionary Grants"
"Discretionary Grants Overview","New Jersey Department of Education Grants","State funding","","","","","","","52","","https://www.nj.gov/education/grants/discretionary/index.shtml","","State funding. Matched source page for New Jersey Department of Education Grants. Discretionary Grants Overview"
"Grant Applications","New Jersey Department of Education Grants","State funding","","","","","","","52","","https://www.nj.gov/education/grants/discretionary/apps","","State funding. Matched source page for New Jersey Department of Education Grants. Grant Applications"
"Grant Management","New Jersey Department of Education Grants","State funding","","","","","","","52","","https://www.nj.gov/education/grants/discretionary/management","","State funding. Matched source page for New Jersey Department of Education Grants. Grant Management"
"Entitlement Grants","New Jersey Department of Education Grants","State funding","","","","","","","52","","https://www.nj.gov/education/grants/entitlement","","State funding. Matched source page for New Jersey Department of Education Grants. Entitlement Grants"
"Entitlement Grants Overview","New Jersey Department of Education Grants","State funding","","","","","","","52","","https://www.nj.gov/education/grants/entitlement/index.shtml","","State funding. Matched source page for New Jersey Department of Education Grants. Entitlement Grants Overview"
"Policies and Procedures for Reimbursement of Federal and Other Grant Expenditures","New Jersey Department of Education Grants","State funding","","","","","","","52","","https://www.nj.gov/education/grants/entitlement/reiumbursement","","State funding. Matched source page for New Jersey Department of Education Grants. Policies and Procedures for Reimbursement of Federal and Other Grant Expenditures"
"Grant Development","Oklahoma State Department of Education Grants","State funding","","","","","","","52","","https://sde.ok.gov/education/services/grant-development.html","","State funding. Matched source page for Oklahoma State Department of Education Grants. Grant Development"
"Grants and Funding Resources","Oregon Department of Education Grants","State funding","","","","","","","52","","https://www.oregon.gov/ode/schools-and-districts/grants/Pages/default.aspx","","State funding. Matched source page for Oregon Department of Education Grants. Grants and Funding Resources"
"Physical Education Expansion K-8 (PEEK-8) Grants","Oregon Department of Education Grants","State funding","","","","","","","52","","https://www.oregon.gov/ode/educator-resources/standards/physicaleducation/pages/default.aspx","","State funding. Matched source page for Oregon Department of Education Grants. Physical Education Expansion K-8 (PEEK-8) Grants"
"Outdoor School Grant","Oregon Department of Education Grants","State funding","","","","","","","52","","https://www.oregon.gov/ode/schools-and-districts/grants/Pages/https&#58;//extension.oregonstate.edu/outdoor-school","","State funding. Matched source page for Oregon Department of Education Grants. Outdoor School Grant"
"Regional Promise Grant","Oregon Department of Education Grants","State funding","","","","","","","52","","https://www.oregon.gov/ode/schools-and-districts/grants/Pages/Regional-Promise-Grant.aspx","","State funding. Matched source page for Oregon Department of Education Grants. Regional Promise Grant"
"Grants","South Carolina Department of Education Grants","State funding","","","","","","","52","","https://ed.sc.gov/finance/grants/","","State funding. Matched source page for South Carolina Department of Education Grants. Grants"
"Grants Accounting","South Carolina Department of Education Grants","State funding","","","","","","","52","","https://ed.sc.gov/finance/grants-accounting/","","State funding. Matched source page for South Carolina Department of Education Grants. Grants Accounting"
"SCDE Grant Opportunities","South Carolina Department of Education Grants","State funding","","","","","","","52","","http://ed.sc.gov/finance/grants/office-of-grant-services/scde-grant-opportunities/","","State funding. Matched source page for South Carolina Department of Education Grants. SCDE Grant Opportunities"
"SCDE Current Grant Opportunities","South Carolina Department of Education Grants","State funding","","","","","","","52","","https://ed.sc.gov/finance/grants/scde-grant-opportunities/","","State funding. Matched source page for South Carolina Department of Education Grants. SCDE Current Grant Opportunities"
"SCDE Archived Grant Opportunities","South Carolina Department of Education Grants","State funding","","","","","","","52","","https://ed.sc.gov/finance/grants/scde-grant-opportunities/scde-archived-grant-opportunities/","","State funding. Matched source page for South Carolina Department of Education Grants. SCDE Archived Grant Opportunities"
"Grant Programs Administered by SCDE","South Carolina Department of Education Grants","State funding","","","","","","","52","","https://ed.sc.gov/finance/grants/grant-programs-administered-by-scde/","","State funding. Matched source page for South Carolina Department of Education Grants. Grant Programs Administered by SCDE"
"SCDE Grants Program","South Carolina Department of Education Grants","State funding","","","","","","","52","","https://ed.sc.gov/finance/grants/office-of-grant-services/","","State funding. Matched source page for South Carolina Department of Education Grants. SCDE Grants Program"
"Grant Appeals Process","South Carolina Department of Education Grants","State funding","","","","","","","52","","https://ed.sc.gov/finance/grants/office-of-grant-services/grant-appeal-process/","","State funding. Matched source page for South Carolina Department of Education Grants. Grant Appeals Process"
"WDE Seeks Public Comment on 2026 Annual State Application Under Part B of IDEA and Proposed Use of Funds","Wyoming Department of Education Grants","State funding","","","","","","","52","","https://edu.wyoming.gov/wde-seeks-public-comment-on-2026-annual-state-application-under-part-b-of-idea-and-proposed-use-of-funds/","","State funding. Matched source page for Wyoming Department of Education Grants. WDE Seeks Public Comment on 2026 Annual State Application Under Part B of IDEA and Proposed Use of Funds"
"Spencer Foundation funding page","Spencer Foundation","Private foundation","","","","","","","50","","https://www.spencer.org/grant_types","","Private foundation. Source page to monitor for education funding opportunities. The scan could not extract page details this run."
"William T. Grant Foundation funding page","William T. Grant Foundation","Private foundation","","","","","","","50","","https://wtgrantfoundation.org/grants","","Private foundation. Source page to monitor for education funding opportunities. The scan could not extract page details this run."
"EdGrants & GEM$: User Guides, Information and Trainings","Massachusetts Department of Elementary and Secondary Education Grants","State funding","","","","","","","50","","https://www.doe.mass.edu/grants/edgrants.html","","State funding. Matched source page for Massachusetts Department of Elementary and Secondary Education Grants. EdGrants & GEM$: User Guides, Information and Trainings"
"2026-27 Title I, 1003 School Improvement Grant (Instructional Systems)","New York State Education Department Funding","State funding","","","","","","","50","","https://www.nysed.gov/funding-opportunities/news/2026-27-title-i-1003-school-improvement-grant-instructional-systems","","State funding. Matched source page for New York State Education Department Funding. 2026-27 Title I, 1003 School Improvement Grant (Instructional Systems)"
"Special Education State grant application, Medicaid, more...","Washington OSPI Grants","State funding","","","","","","","50","","https://ospi.k12.wa.us/policy-funding/special-education-funding-and-finance","","State funding. Matched source page for Washington OSPI Grants. Special Education State grant application, Medicaid, more..."
"Evidence & Evaluation Impacts of Cell Phone Policies in K‑ 12 Schools RFP RFP Closed","Arnold Ventures","Private foundation","","","","","","","48","","https://assets.arnoldventures.org/uploads/PDFs/AV_RFP_Cell-Phones-in-Schools.pdf","evaluation; evidence","Private foundation. Matched source page for Arnold Ventures. Evidence & Evaluation Impacts of Cell Phone Policies in K‑ 12 Schools RFP RFP Closed"
"Learning","Walton Family Foundation","Private foundation","","","","","","","42","","https://www.waltonfamilyfoundation.org/learning","learning","Private foundation. Matched source page for Walton Family Foundation. Learning"
"21st Century Community Learning Center Grants","Illinois State Board of Education Grants","State funding","","","","","","","42","","https://www.isbe.net/Pages/21CCLC-PG.aspx","learning","State funding. Matched source page for Illinois State Board of Education Grants. 21st Century Community Learning Center Grants"
"Access & Opportunity in Education Migrant & multilingual, homeless, foster, more...","Washington OSPI Grants","State funding","","","","","","","42","","https://ospi.k12.wa.us/student-success/access-opportunity-education","multilingual","State funding. Matched source page for Washington OSPI Grants. Access & Opportunity in Education Migrant & multilingual, homeless, foster, more..."
"Advancing Public Education in India","Michael & Susan Dell Foundation","Private foundation","","","","","","","38","","https://www.dell.org/ideas/india-schools/","","Private foundation. Matched source page for Michael & Susan Dell Foundation. Advancing Public Education in India"
"Education","Walton Family Foundation","Private foundation","","","","","","","38","","https://www.waltonfamilyfoundation.org/our-work/education-program","","Private foundation. Matched source page for Walton Family Foundation. Education"
"Grants","Illinois State Board of Education Grants","State funding","","","","","","","38","","https://www.isbe.net/Pages/Grants.aspx","","State funding. Matched source page for Illinois State Board of Education Grants. Grants"
"IWAS: ISBE Web Application Security","Illinois State Board of Education Grants","State funding","","","","","","","38","","https://apps.isbe.net/iwas","","State funding. Matched source page for Illinois State Board of Education Grants. IWAS: ISBE Web Application Security"
"Grants Management","Illinois State Board of Education Grants","State funding","","","","","","","38","","https://www.isbe.net/Pages/Grants-Management.aspx","","State funding. Matched source page for Illinois State Board of Education Grants. Grants Management"
"Grant Periodic Reporting","Illinois State Board of Education Grants","State funding","","","","","","","38","","https://www.isbe.net/Pages/GrantPeriodicReporting.aspx","","State funding. Matched source page for Illinois State Board of Education Grants. Grant Periodic Reporting"
"Grant Financial Information","Illinois State Board of Education Grants","State funding","","","","","","","38","","https://www.isbe.net/Pages/General-Grant-Information.aspx","","State funding. Matched source page for Illinois State Board of Education Grants. Grant Financial Information"
"All State and Federal Grant Programs","Illinois State Board of Education Grants","State funding","","","","","","","38","","https://www.isbe.net/Pages/State-and-Federal-Grants.aspx","","State funding. Matched source page for Illinois State Board of Education Grants. All State and Federal Grant Programs"
"Federal Grant Programs","Massachusetts Department of Elementary and Secondary Education Grants","State funding","","","","","","","38","","https://www.doe.mass.edu/federalgrants/","","State funding. Matched source page for Massachusetts Department of Elementary and Secondary Education Grants. Federal Grant Programs"
"Grants/Funding Opportunities","Massachusetts Department of Elementary and Secondary Education Grants","State funding","","","","","","","38","","https://www.doe.mass.edu/grants/","","State funding. Matched source page for Massachusetts Department of Elementary and Secondary Education Grants. Grants/Funding Opportunities"
"Grants/Funding Opportunities","Massachusetts Department of Elementary and Secondary Education Grants","State funding","","","","","","","38","","https://www.doe.mass.edu/grants/default.html","","State funding. Matched source page for Massachusetts Department of Elementary and Secondary Education Grants. Grants/Funding Opportunities"
"Current Grants","Massachusetts Department of Elementary and Secondary Education Grants","State funding","","","","","","","38","","https://www.doe.mass.edu/grants/current.html","","State funding. Matched source page for Massachusetts Department of Elementary and Secondary Education Grants. Current Grants"
"Previous Grants","Massachusetts Department of Elementary and Secondary Education Grants","State funding","","","","","","","38","","https://www.doe.mass.edu/grants/pastgrants.aspx","","State funding. Matched source page for Massachusetts Department of Elementary and Secondary Education Grants. Previous Grants"
"Grants Updates Archive","Massachusetts Department of Elementary and Secondary Education Grants","State funding","","","","","","","38","","https://www.doe.mass.edu/grants/?section=archive","","State funding. Matched source page for Massachusetts Department of Elementary and Secondary Education Grants. Grants Updates Archive"
"Anticipated Grant Funding Opportunities","Massachusetts Department of Elementary and Secondary Education Grants","State funding","","","","","","","38","","https://www.doe.mass.edu/grants/anticipatedgrants.html","","State funding. Matched source page for Massachusetts Department of Elementary and Secondary Education Grants. Anticipated Grant Funding Opportunities"
"Grants","New York State Education Department Funding","State funding","","","","","","","38","","https://www.nysed.gov/funding-opportunities/grants","","State funding. Matched source page for New York State Education Department Funding. Grants"
"Competitive Service Contract Procurements","New York State Education Department Funding","State funding","","","","","","","38","","https://www.nysed.gov/funding-opportunities/competitive-service-contract-procurements","","State funding. Matched source page for New York State Education Department Funding. Competitive Service Contract Procurements"
"2026-27 Title I, 1003 School Improvement Grant (Innovation)","New York State Education Department Funding","State funding","","","","","","","38","","https://www.nysed.gov/funding-opportunities/news/2026-27-title-i-1003-school-improvement-grant-innovation","","State funding. Matched source page for New York State Education Department Funding. 2026-27 Title I, 1003 School Improvement Grant (Innovation)"
"2026 Title I, 1003 School Improvement Grant (Supplemental Support Program)","New York State Education Department Funding","State funding","","","","","","","38","","https://www.nysed.gov/funding-opportunities/news/2026-title-i-1003-school-improvement-grant-supplemental-support-program","","State funding. Matched source page for New York State Education Department Funding. 2026 Title I, 1003 School Improvement Grant (Supplemental Support Program)"
"Find information about grants","New York State Education Department Funding","State funding","","","","","","","38","","https://www.nysed.gov/finance-business/funding-grants","","State funding. Matched source page for New York State Education Department Funding. Find information about grants"
"Grant Opportunities","Texas Education Agency Grants","State funding","","","","","","","38","","https://tea.texas.gov/GrantOpportunities","","State funding. Matched source page for Texas Education Agency Grants. Grant Opportunities"
"access all secure TEA applications","Texas Education Agency Grants","State funding","","","","","","","38","","https://tea.texas.gov/node/9596","","State funding. Matched source page for Texas Education Agency Grants. access all secure TEA applications"
"Finance, Grants, and Funding","Texas Education Agency Grants","State funding","","","","","","","38","","https://tea.texas.gov/school-district-leaders/finance-grants-and-funding","","State funding. Matched source page for Texas Education Agency Grants. Finance, Grants, and Funding"
"grantsupport@tea.texas.gov","Texas Education Agency Grants","State funding","","","","","","","38","","mailto:grantsupport@tea.texas.gov","","State funding. Matched source page for Texas Education Agency Grants. grantsupport@tea.texas.gov"
"GEER Assistance to Private Schools (GAPS) Grant Program","Texas Education Agency Grants","State funding","","","","","","","38","","https://tea.texas.gov/data-reports/grants/geer-assistance-private-schools-gaps-grant-program","","State funding. Matched source page for Texas Education Agency Grants. GEER Assistance to Private Schools (GAPS) Grant Program"
"COVID-19 and Federal Grant Funds","Texas Education Agency Grants","State funding","","","","","","","38","","https://tea.texas.gov/finance-and-grants/grants/covid-19-and-federal-grant-funds","","State funding. Matched source page for Texas Education Agency Grants. COVID-19 and Federal Grant Funds"
"Emergency Assistance to Non-Public Schools Grant Program","Texas Education Agency Grants","State funding","","","","","","","38","","https://tea.texas.gov/finance-and-grants/grants/emergency-assistance-to-non-public-schools-eans-grant-program","","State funding. Matched source page for Texas Education Agency Grants. Emergency Assistance to Non-Public Schools Grant Program"
